mean_neighbors,total_edges,largest_comp,n_components,euler,PC1,PC2,kappa
1.3333333333333333,4,5,2,4,4.5275283,0.3045716,45.340109893613295
0.0,0,1,5,11,-0.67927045,1.1703383,45.623415686867176
0.4,1,2,4,10,-5.5278664,-0.6942952,45.9232734049838
0.8,2,3,3,6,-1.6881287,0.13597299,46.21902828294569
0.6666666666666666,2,3,4,7,11.031719,2.9114282,46.503168725245914
0.8,2,2,3,6,-0.82530886,-0.07317516,46.7867648079538
0.5714285714285714,2,3,5,6,0.567157,0.2498091,47.10217203606118
0.4,1,2,4,8,9.93483,4.122358,47.39675620548572
0.8,2,2,3,7,-7.2688994,-1.2520788,47.69721926301948
0.8,2,3,3,3,-2.5035844,-0.1361881,47.97039504341117
0.4,1,2,4,10,-2.0818052,-0.20235018,48.28220409069076
0.5,1,2,3,8,5.7920485,2.6484258,48.582069961146004
1.0,3,3,3,6,0.10284792,0.29993188,48.84214993559811
0.0,0,1,4,8,-5.764991,-0.48794365,49.13971945675061
0.0,0,1,4,10,-3.699015,-0.25535563,49.422506160124996
0.5,1,2,3,8,-2.9030461,-0.33183694,49.717549524632936
0.4,1,2,4,8,9.825125,3.7801867,50.01708826022637
0.5,1,2,3,6,-5.410933,-0.96120834,50.30291586702815
1.3333333333333333,4,5,2,1,6.592348,1.2260169,50.59026208542025
1.0,2,3,2,6,-4.0847516,-0.9475519,50.88558597660223
0.0,0,1,4,8,-4.050401,-0.40742183,51.176490641033446
0.0,0,1,4,8,-4.1673536,0.14111766,51.48034200095168
0.8,2,2,3,6,2.1299555,1.7327173,51.7696935144808
0.5,1,2,3,8,-8.193772,-1.3112487,52.0663983788506
0.0,0,1,4,7,-8.411487,-1.1585417,52.350228334893174
0.8,2,2,3,7,-1.5694077,0.055586725,52.639751589064396
1.0,2,3,2,6,0.21601354,1.164026,52.923774718360654
0.0,0,1,4,9,2.6470268,1.5762255,53.237357530870305
0.6666666666666666,1,2,2,6,1.1919513,1.7310693,53.528599413739336
0.0,0,1,4,9,0.73406255,1.1379867,53.80894432235824
0.5,1,2,3,6,0.7252224,1.1623554,54.1111306537288
0.5,1,2,3,8,2.1429026,1.3456937,54.409969558916416
0.5,1,2,3,7,-3.1129277,-0.23277271,54.69641661919515
0.5,1,2,3,12,-0.474895,0.4391352,54.98355842338045
1.0,2,3,2,4,-6.9409966,-0.825629,55.26790718159706
0.5,1,2,3,5,-4.785356,-0.27182636,55.55783203112497
0.5,1,2,3,6,0.07333326,0.97027063,55.86185098212742
